B_max,B_max_f1,B_max_test_f1,B_opt,B_opt_f1,B_opt_test_f1
11689512,0.3637333333333333,0.304275615302534,11689512,0.3637333333333333,0.304275615302534
8,0.999998001998002,0.999998001998002,2,0.999998001998002,0.999998001998002
18,0.999998001998002,0.999998001998002,2,0.999998001998002,0.999998001998002
28,0.9997965811965812,0.999905457772033,15,0.999586013986014,0.9999717894468038
38,0.999998001998002,0.9999980011992804,11,0.9999662367572548,0.999992908122047
49,0.999992014822784,0.9999968261629072,26,0.99991792746114,0.9999979432332372
59,0.999711737943585,0.9994372653949783,23,0.998989078687677,0.9998892067712952
69,0.9919890827586858,0.9916193139242928,39,0.9908868407514074,0.9914307189625898
79,0.997210220803864,0.9967877453289152,37,0.993562742253326,0.997527449544708
90,0.9961509501797636,0.9871920737651468,38,0.9887104231166152,0.9900569605395384
100,0.8250501065717959,0.7908507349596624,53,0.7972205710593946,0.769347221187372
110,0.7618040017601937,0.7157145823857387,60,0.7318632756132757,0.6825262292085968
120,0.8556821383409619,0.8235700059778543,64,0.8355710373351218,0.8229311645623021
131,0.6641293650793652,0.6043413033704508,60,0.6261585578473814,0.591900510101283
141,0.566640404040404,0.484537079981167,73,0.5421325396825396,0.4802259024024743
151,0.7904907531274072,0.730953093952049,84,0.7660753345782758,0.722626967226387
161,0.4955761904761905,0.409433679061601,76,0.4672166666666667,0.4026125183372133
172,0.4534333333333333,0.3901810934398385,84,0.4415809523809523,0.3866771738176406
182,0.7334439051689052,0.6733408858557363,92,0.7122631756077958,0.6780743064723418
192,0.4314666666666666,0.3618584522301187,85,0.4066000000000001,0.3616555556513299
202,0.6139211904761905,0.5398262393964947,88,0.5635055555555555,0.499845578807912
213,0.6687296523183315,0.6100188878579353,104,0.5983785714285714,0.533455967261405
223,0.4190333333333332,0.3480498780648071,87,0.3906,0.353250616722071
233,0.5048833333333334,0.4114143685676676,109,0.4784611111111111,0.4195025420047482
243,0.439047619047619,0.366197874884039,123,0.4328166666666667,0.3700716922690187
254,0.3967999999999999,0.3373554080830944,111,0.3892333333333333,0.3381073549900278
264,0.4216333333333334,0.3491645441520984,131,0.4098666666666668,0.3490785409619076
274,0.4326666666666667,0.3618008144522111,112,0.416,0.3664878553010423
284,0.3981666666666668,0.3270909069585876,114,0.3767333333333333,0.3296198646471584
295,0.3898333333333332,0.3279627419626929,122,0.3754999999999999,0.3297960688707025
305,0.4337000000000001,0.3611530191354459,140,0.4261333333333333,0.3603686029497822
315,0.3882333333333333,0.3258092055015263,143,0.3739,0.3255976077455518
325,0.4920285714285713,0.4123617625072625,155,0.4174,0.3510477119335256
